,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
727,The Walls Are Way Too Thin - Floorboards Version,Holly Humberstone,6,0.488,0.29,11.0,-7.456,1.0,0.0303,0.697,0.0,0.327,0.233,117.762,audio_features,2axg4squnD1sycg3Ot1PVF,spotify:track:2axg4squnD1sycg3Ot1PVF,https://api.spotify.com/v1/tracks/2axg4squnD1sycg3Ot1PVF,https://api.spotify.com/v1/audio-analysis/2axg4squnD1sycg3Ot1PVF,203820.0,4.0
728,Is She,Tori Templet,6,0.723,0.372,9.0,-14.808,0.0,0.215,0.268,1.25e-05,0.107,0.387,77.99,audio_features,2mbvrGn1yJJdImnRPljeJ3,spotify:track:2mbvrGn1yJJdImnRPljeJ3,https://api.spotify.com/v1/tracks/2mbvrGn1yJJdImnRPljeJ3,https://api.spotify.com/v1/audio-analysis/2mbvrGn1yJJdImnRPljeJ3,190772.0,4.0
729,Same (Alternate Version),Josie Dunne,6,0.675,0.521,9.0,-9.161,1.0,0.0349,0.113,0.0774,0.0842,0.565,91.992,audio_features,3cACVHepEPSvhrONB6E3M8,spotify:track:3cACVHepEPSvhrONB6E3M8,https://api.spotify.com/v1/tracks/3cACVHepEPSvhrONB6E3M8,https://api.spotify.com/v1/audio-analysis/3cACVHepEPSvhrONB6E3M8,161363.0,4.0
730,Hope You're Well,Haley Joelle,6,0.395,0.134,7.0,-11.994,1.0,0.0322,0.911,1.66e-05,0.0823,0.133,135.851,audio_features,52UpyOfkpJpvUpMyPD0E4E,spotify:track:52UpyOfkpJpvUpMyPD0E4E,https://api.spotify.com/v1/tracks/52UpyOfkpJpvUpMyPD0E4E,https://api.spotify.com/v1/audio-analysis/52UpyOfkpJpvUpMyPD0E4E,208460.0,3.0
731,Macaroni Song,Corey Kilgannon,6,0.484,0.188,10.0,-13.461,1.0,0.0358,0.813,1.77e-06,0.0966,0.345,121.524,audio_features,4RnRsLUr2veqLO3C8v30zY,spotify:track:4RnRsLUr2veqLO3C8v30zY,https://api.spotify.com/v1/tracks/4RnRsLUr2veqLO3C8v30zY,https://api.spotify.com/v1/audio-analysis/4RnRsLUr2veqLO3C8v30zY,228468.0,4.0
732,The Only Exception,Jacob Whitesides,6,0.363,0.298,5.0,-11.74,1.0,0.038,0.861,0.0,0.0864,0.173,111.446,audio_features,7hx7J8obpi43ydZ0HTSPqC,spotify:track:7hx7J8obpi43ydZ0HTSPqC,https://api.spotify.com/v1/tracks/7hx7J8obpi43ydZ0HTSPqC,https://api.spotify.com/v1/audio-analysis/7hx7J8obpi43ydZ0HTSPqC,175389.0,3.0
733,Lover Boy,Sophie May,6,0.465,0.264,4.0,-11.132,1.0,0.0336,0.882,0.0,0.102,0.336,85.045,audio_features,698zM4fC45zI9Rb5XqJ6FS,spotify:track:698zM4fC45zI9Rb5XqJ6FS,https://api.spotify.com/v1/tracks/698zM4fC45zI9Rb5XqJ6FS,https://api.spotify.com/v1/audio-analysis/698zM4fC45zI9Rb5XqJ6FS,119646.0,4.0
734,The Hardest Part,Olivia Dean,6,0.722,0.528,0.0,-7.066,1.0,0.069,0.476,0.0,0.109,0.447,94.001,audio_features,1fXALB3kb14ngMRGNdV5wD,spotify:track:1fXALB3kb14ngMRGNdV5wD,https://api.spotify.com/v1/tracks/1fXALB3kb14ngMRGNdV5wD,https://api.spotify.com/v1/audio-analysis/1fXALB3kb14ngMRGNdV5wD,176048.0,4.0
735,Just Like Me,Ben Kessler,6,0.416,0.493,1.0,-7.719,1.0,0.0585,0.19,0.0,0.479,0.385,78.912,audio_features,5CMgV1SsMDRFyeM10Al6NL,spotify:track:5CMgV1SsMDRFyeM10Al6NL,https://api.spotify.com/v1/tracks/5CMgV1SsMDRFyeM10Al6NL,https://api.spotify.com/v1/audio-analysis/5CMgV1SsMDRFyeM10Al6NL,170211.0,4.0
736,How Good It Is,Morningsiders,6,0.649,0.392,0.0,-5.993,1.0,0.0274,0.578,5.43e-05,0.0963,0.237,113.186,audio_features,4XGlpZw4XyOAisQrpodzPn,spotify:track:4XGlpZw4XyOAisQrpodzPn,https://api.spotify.com/v1/tracks/4XGlpZw4XyOAisQrpodzPn,https://api.spotify.com/v1/audio-analysis/4XGlpZw4XyOAisQrpodzPn,194523.0,3.0
