,trackName,count
4713,happy for you,18
322,Band of Gold,18
4089,To Love You Rightly,18
1183,Fine,18
4579,You and Me,18
244,Anything to Make You Stay - Acoustic,18
3904,The Love You Left Behind,18
3366,Serendipity,18
756,Constellations,17
460,Bloom - Bonus Track,17
2817,Not Usually Like This,17
1339,Giants,17
761,Cool Girl,17
4230,Volcano,17
1705,Hurricane,17
1870,I Wouldn't Mind,17
1453,HALF HEARTED,17
4834,run (iphone demo),17
1480,Happier,17
4422,Wherever I May Go,17
1850,I Will Always Be Yours,17
1822,I Really Love Ya,17
1500,Hate Me Too,17
369,Bees,17
1573,Hey Lovely,17
479,Boomerang,17
2195,Last Love Song,17
828,Dandelions,17
2630,Morning Breeze,17
3940,The Scientist,17
546,Bulletproof Weeks,17
3241,Rose,17
1105,Fallen so Young,17
3790,Teach Me to Dance,17
3834,The Best - Acoustic,17
4100,Tomorrow,17
3149,Rearrange,17
3764,Take Me to Church,17
3975,Them Dirty Bones,17
510,Break Away (Piano Version),17
1019,Endlessly,17
1485,Happiness,16
2415,Love Me Please,16
2240,Let It Go,16
3052,Pineapple,16
1681,How Many Times,16
788,Cringe - Stripped,16
4502,Words Ain't Enough,16
2688,My Town,16
4140,Tsunami,16
4097,Together,16
4138,Trying My Best,16
3001,"Paris, or Wherever We Are",16
186,Almira,16
1580,Hibiscus,16
254,Appalachian Wine,16
3399,Shelter,16
488,Bourbon Melody,16
2875,Ohio,16
348,Beautiful,16
1982,In My Veins - Live (Bonus Track),16
1973,In Everything,16
505,Boys Like You - Acoustic,16
503,Boys Like You,16
1963,If you're meant to come back,16
74,A Drop In The Ocean,16
2029,Is It Just Me? (feat. JP Cooper),16
4892,tomorrow tonight,16
854,Dear Future Me,16
2080,Jericho,16
1915,I'm with You,16
3169,Regarding Your Departure,16
2840,Novels,16
33,2014,16
3516,Somebody - Acoustic,15
2540,Maybe It's Time,15
1190,Fire and the Flood,15
1571,Hey Lady,15
1054,Everybody Talks,15
99,About the Rain,15
1317,Gentle,15
4777,let go (demo),15
3447,Six Feet Apart,15
1661,House Key,15
1997,In the Meantime,15
919,Don't Lose Your Love,15
1817,I Need You To Hate Me,15
1811,I Loved Her First,15
3590,Spotless Mind,15
2105,Just Come Home (feat. Elena Coats),15
2224,Leaving Home,15
1717,Hypnotized,15
2576,Milestone,15
3071,Please Don't Say You Love Me,15
3620,Stay Where You Are,15
3959,The Way That I Love You (Single Version),15
4321,Weather,15
