,trackName,artistName,count,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
3535,When You Lose Someone,Nina Nesbitt,72,0.527,0.415,3.0,-4.743,1.0,0.0303,0.264,0.0,0.093,0.341,130.005,3ECh9S9MgoL9SrpZFh0Y5Z,200282.0,4.0
328,Better Place,Rachel Platten,7,0.557,0.4,0.0,-8.16,1.0,0.0274,0.914,0.000897,0.107,0.348,100.205,7xbXQeepclfQNqI3mLPb3c,176387.0,4.0
4260,"we're fucked, it's fine",Jeremy Zucker,12,,,,,,,,,,,,,,
3375,Unknown Track,Unknown Artist,45,0.286,0.00631,8.0,-42.724,1.0,0.0282,0.00017,0.0658,0.0615,0.0627,103.36,47FlbrwMWmaaC87mkVbwcZ,56750.0,3.0
929,Falling,Harry Styles,12,0.567,0.267,4.0,-6.502,1.0,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,1ZMiCix7XSAbfAJlEZWMCp,240133.0,4.0
26,17,Julia Michaels,25,0.774,0.466,4.0,-6.869,1.0,0.0433,0.458,0.0,0.111,0.396,97.975,0ND8rF8oirMXtE59n585P6,182800.0,4.0
3585,Wild Enough,Elina,14,0.501,0.229,11.0,-8.081,1.0,0.0728,0.891,0.0,0.148,0.286,80.876,6oynBOei3VDaRYmBghTCOO,186658.0,3.0
3084,Talk To Me,Arielle Soucy,1,0.394,0.14,10.0,-14.739,1.0,0.0365,0.928,0.00169,0.109,0.247,126.622,1IVmzAyiLbxLMaG95Q1S5M,173375.0,3.0
3192,The Night We Met,Lord Huron,11,0.545,0.366,2.0,-9.51,1.0,0.0378,0.969,0.267,0.641,0.1,86.997,0QZ5yyl6B6utIWkxeBDxQN,208212.0,3.0
326,Better On Your Own,Kristiane,2,0.617,0.649,2.0,-8.149,1.0,0.0374,0.319,0.00343,0.0917,0.598,140.913,1Zj4Z2gQP0jgQMqxdi8gcr,143668.0,4.0
1517,I Wouldn't Change a Thing,Westerlight,2,0.496,0.233,10.0,-9.942,1.0,0.0362,0.762,0.0,0.11,0.479,117.196,1OwmT0Qc1DUDjWvO3TVxuI,209624.0,4.0
548,Chosen Last,Sara Kays,4,0.652,0.546,11.0,-6.497,1.0,0.0264,0.666,2.28e-06,0.112,0.264,99.03,5X4tAxxNC5XaSgcIW3xhj7,226847.0,4.0
3787,broken,Jonah Kagen,29,0.501,0.348,1.0,-11.938,1.0,0.0579,0.501,2.18e-06,0.106,0.276,83.527,44siIYlT1dMRQysOVjEvdF,195400.0,4.0
2699,Safe Places (Acoustic),Cassidy King,4,0.378,0.303,4.0,-8.313,1.0,0.0308,0.94,0.0,0.147,0.475,62.539,5sdjy2Qopr2uIRBGZnfJeq,203636.0,4.0
1399,I Believe In A Thing Called Love,Nina Nesbitt,23,0.295,0.172,8.0,-13.212,1.0,0.0434,0.667,0.0,0.0834,0.162,201.519,7nlZZzSAQ4FbrRLHrkA8EL,144467.0,4.0
266,Balloon Boy,Angus Maude,2,0.757,0.286,6.0,-10.781,1.0,0.0628,0.802,0.0,0.106,0.334,120.221,0vJHbbvmmpHUJneB02DO87,162797.0,4.0
1328,Home,Nina Nesbitt,27,0.382,0.136,0.0,-11.042,1.0,0.0332,0.902,0.0,0.106,0.379,91.961,0cyl4jdzXSs8gDXnJubJAR,114320.0,3.0
3195,The Only Exception,Jacob Whitesides,6,0.363,0.298,5.0,-11.74,1.0,0.038,0.861,0.0,0.0864,0.173,111.446,7hx7J8obpi43ydZ0HTSPqC,175389.0,3.0
2748,Secret,Rose Betts,7,0.471,0.0893,11.0,-14.999,0.0,0.0415,0.978,0.000164,0.36,0.35,119.27,6Y7lF3CxhpNdymbGoULFTZ,82000.0,4.0
3854,didn't you believe in me?,Philip Brooks,3,,,,,,,,,,,,,,
2006,Make Us Never Happen,shy martin,6,0.61,0.489,10.0,-8.541,0.0,0.127,0.308,0.0,0.165,0.331,105.016,03ARE7xKtbCVV2GE5j0IWq,171890.0,4.0
573,Codependent,Sophie Holohan,37,0.345,0.25,8.0,-8.763,1.0,0.0398,0.718,0.0,0.116,0.124,197.81,1RXysmMeZ1jvYgkpkCyYfi,199829.0,4.0
3129,The Art Of Getting By,Laura Zocca,6,0.536,0.189,11.0,-12.245,1.0,0.0301,0.831,0.0,0.117,0.341,80.346,43rWni1MoV8PKPDGjx3cN7,219934.0,4.0
3338,Tuesdays,Jake Scott,7,0.473,0.217,4.0,-10.739,1.0,0.0367,0.63,0.0,0.142,0.628,164.02,7r5cRFkwHuPy7HlzvuovLD,216989.0,4.0
2398,Out Of Love with You,Avery Lynch,18,0.643,0.219,8.0,-9.932,1.0,0.0379,0.935,2.07e-05,0.0899,0.266,140.071,79xgL4d3ZTb6qiBfDnSnOF,220286.0,3.0
